Run,Cluster Cardinality,Radius Manhattan Length,Radius Euclidean Length
1.0,0.0,0.0,0.0
2.0,171.0,27.0,20.615528128088304
3.0,28.0,8.0,9.219544457292887
4.0,1.0,0.0,0.0
5.0,0.0,0.0,0.0
6.0,63.0,14.0,13.038404810405298
